feature,importance
yearsExperience,0.18125883740006618
jobType_JANITOR,0.1757904406967347
milesFromMetropolis,0.12701650549812
major_NONE,0.08949431367432821
jobType_JUNIOR,0.07128409226709985
jobType_CEO,0.04838537469419527
jobType_SENIOR,0.036653289628143765
industry_EDUCATION,0.029986892277793577
industry_OIL,0.02200076849006606
industry_FINANCE,0.021713404082475754
degree_NONE,0.020207753708083514
jobType_MANAGER,0.017120818313629223
jobType_CFO,0.01609297052460475
industry_SERVICE,0.015742866258782604
jobType_CTO,0.015530407432559588
degree_DOCTORAL,0.010801272241606489
degree_HIGH_SCHOOL,0.009978601534002962
jobType_VICE_PRESIDENT,0.008842641640932247
industry_AUTO,0.00789407042810632
industry_WEB,0.007016548786894885
major_ENGINEERING,0.005128252031674178
industry_HEALTH,0.004656708679808269
major_BUSINESS,0.0036595839097737274
degree_BACHELORS,0.0031050383733908695
degree_MASTERS,0.002607636945571089
major_LITERATURE,0.0024759252352677613
major_MATH,0.0013222156005745184
major_BIOLOGY,0.001182071090463216
major_CHEMISTRY,0.001073537565249165
major_PHYSICS,0.0007038366627391297
companyId_COMP62,0.0006763312058120069
companyId_COMP43,0.0006754063263019998
companyId_COMP15,0.0006710319031571746
companyId_COMP48,0.0006706033446508207
companyId_COMP13,0.0006700634248111598
companyId_COMP16,0.00066604036272078
companyId_COMP35,0.0006636769325907131
companyId_COMP44,0.0006623922700260061
companyId_COMP3,0.0006620447714821677
companyId_COMP32,0.000662031862568215
companyId_COMP37,0.0006611028270098395
companyId_COMP55,0.0006578488570069805
companyId_COMP4,0.000657526103691153
companyId_COMP30,0.0006570904381198819
companyId_COMP9,0.0006546756098719973
companyId_COMP24,0.0006542325625145077
companyId_COMP54,0.0006542283324453327
companyId_COMP17,0.0006539588179528565
companyId_COMP34,0.0006532611630439061
major_COMPSCI,0.0006531504604836106
companyId_COMP12,0.0006526021789325509
companyId_COMP36,0.0006523533687344853
companyId_COMP11,0.0006509947368022399
companyId_COMP58,0.0006501948069017212
companyId_COMP59,0.0006489873893931079
companyId_COMP22,0.000647306479796295
companyId_COMP47,0.0006469478216435436
companyId_COMP46,0.0006466610554726887
companyId_COMP18,0.0006464305437643839
companyId_COMP51,0.0006452759117780866
companyId_COMP45,0.0006447530798475729
companyId_COMP39,0.000644276409063776
companyId_COMP40,0.0006433276756683444
companyId_COMP25,0.000643044014598857
companyId_COMP2,0.0006417714478479632
companyId_COMP31,0.0006413691201429499
companyId_COMP7,0.0006403966408516789
companyId_COMP6,0.0006403048584538567
companyId_COMP56,0.0006402372229303028
companyId_COMP28,0.0006388202221817466
companyId_COMP61,0.000637824617242183
companyId_COMP5,0.0006378222854088679
companyId_COMP49,0.0006376996804558882
companyId_COMP1,0.0006374761458022385
companyId_COMP33,0.0006374290587542817
companyId_COMP27,0.0006371442171454288
companyId_COMP21,0.0006362329421306514
companyId_COMP41,0.0006352285640814376
companyId_COMP0,0.0006348581139969598
companyId_COMP8,0.0006347468761751714
companyId_COMP14,0.0006327782140817194
companyId_COMP52,0.0006308613878213824
companyId_COMP20,0.000630584167590201
companyId_COMP50,0.0006301390555629803
companyId_COMP60,0.0006288251043732045
companyId_COMP38,0.000628043119473657
companyId_COMP23,0.0006269630038765659
companyId_COMP26,0.0006267157705016719
companyId_COMP10,0.0006261361120395997
companyId_COMP42,0.0006253320040101228
companyId_COMP19,0.0006236217497198697
companyId_COMP57,0.0006222682409528225
companyId_COMP29,0.0006191356844997646
companyId_COMP53,0.0006127056504984046
